id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
57e4d0f8-fcba-4855-8a94-f98f8d2a0c52,tetrate,Cloud application networking,,,,,,,,,False,Not in Affinity
a207b010-f72a-493b-837d-b6aa7bce1af0,tewke,Energy-efficient light switches,,,,,,,,,False,Not in Affinity
536f9eef-392d-4925-84c9-64c076670c87,Texture,Software that aggregates data from energy generation assets,texture.co,"New York, U.S.",,,,,,,False,295862202
0e7ddaba-b7e6-4b1a-bed6-61b945688213,TG0,Human-machine interface technology developer,tg0.co.uk,"London, UK",,,,,,,False,17016723
861bb0f9-d844-4f51-9cf1-fc9caf474408,the ancient environmental genomics initiative for sustainability,Sequence DNA fragments from soil samples,,,,,,,,,False,Not in Affinity
675a7f21-ae07-47d5-8ad6-ab047364950d,The Bee Corp,Agtech startup for beekeepers,thebeecorp.com,"Indianapolis, IN",,,,,,,False,131082028
97cc4284-bfb8-4921-9cf2-48dd9244cc42,The Better Meat Co.,Mycoprotein ingredients developer,bettermeat.co,"West Sacramento, California","['Greenlight Capital', 'BIRD Foundation', 'Green Circle Foodtech Ventures', 'Lever VC.', 'Johnsonville']",24.0,-14.29,Other,1480000.0,"['Adam Yee (Food Scientist, Technically Technical Cofounder): https://linkedin.com/in/itsmeadamyee', 'Joanna Bromley (Cofounder and COO): https://linkedin.com/in/joanna-bromley-b308021a', 'Paul Shapiro (CEO & Co-Founder): https://linkedin.com/in/paul-shapiro-6a9aa282', 'Bruce Demont Nelson (Chief Executive Officer): https://linkedin.com/in/bruce-demont-nelson-067467232']",True,220165515
da5f4ab6-7088-4037-ad07-65e1e482a23a,THE CLIMATE CHOICE,Supply chain decarbonization software platform,theclimatechoice.com,"Berlin, Germany",Gutter Capital,15.0,0.0,Series A,2000000.0,"['Yasha Tarani (Co-Founder & CEO): https://linkedin.com/in/yashatarani', 'Lara Obst (Co-Founder): https://linkedin.com/in/laraobst', 'Dr. Rey Farhan (Co-Founder & Chief Data Scientist): https://linkedin.com/in/reyfarhan']",True,262386996
013edc92-46ce-4ba6-ab7b-9b40976d995f,The Cool Down,Startup that provides sustainable content and product recommendations,thecooldown.com,"Bend, Oregon","['Revolution’s Rise of the Rest Seed Fund', 'Asia Pacific Land', 'Jetstream', 'Swingbridge', 'Niche Capital', 'Breyer Labs', 'Golden Palm Investments', '4DX Ventures', 'Upfront Ventures']",76.0,35.71,Other,5700000.0,"Anna Robertson (Co-Founder, Chief Content Officer): https://linkedin.com/in/anna-robertson-90043b9",True,285079033
c626129e-60ae-463c-a9e5-bf289416958f,the crop project,Developer of regenerative crops for food and beauty products,thecropproject.com,"Brooklyn, NY",,,,,,,False,262878127
b4c5a1a1-6b7b-462d-84d9-8901b7283c87,The Demex Group,Climate-driven insuretech firm,thedemexgroup.com,"Washington, District of Columbia","['Blue Bear Capital', 'Anthemis Group', 'IA Capital Group', 'QBE Ventures', 'Anthemis', 'Congruent Ventures', 'Moxxie Ventures', 'MetaProp']",21.0,16.67,Series A,10300000.0,"['Stephen Bennett (Co-Founder and Managing Director): https://linkedin.com/in/stephendbennett', 'Edward Byrns Jr (President and CEO): https://linkedin.com/in/edward-byrns-jr-20b0919', 'William Clark (President and CEO): https://linkedin.com/in/williamclarkceo']",True,263209178
8293c4d8-f193-448c-898c-04fcddb575d9,the energy company,EV battery manufacturer,,,,,,,,,False,Not in Affinity
c3a29f33-533b-4be7-9681-b3de6179c0c4,the engine ventures,"Invest in climate tech, health, and other sectors",,,,,,,,,False,Not in Affinity
3b4623d3-6ee2-4b38-a617-ad2fd6c4cc36,the every company,Producer of alternative proteins through precision fermentation technology,,,,,,,,,False,Not in Affinity
58e07c2f-b4f4-473f-9452-562b46487238,the growhub innovations,Web3 platform for food traceability,,,,,,,,,False,Not in Affinity
b6cdd778-5b9f-44e9-93fb-9475c3e90a25,the indigenous power & light fund for energy sovereignty,Revolving fund for tribal clean energy,,,,,,,,,False,Not in Affinity
afe463a0-bee5-44a0-9607-1390a0b86ed0,The ISH Food Company,Producer of plant-based seafood alternatives,ishfood.com,"Wilmington, DE",,,,,,,False,283465042
ebeaf4a1-3992-429f-b2fc-ae6dd467c623,The Jackfruit Company,Jackfruit-based meat alternatives,thejackfruitcompany.com,"Boulder, CO",,,,,,,False,204067874
f1df31c2-30db-4004-b60e-b030ccefcd57,The Lion Electric,Canadian electric truck and bus maker,thelionelectric.com,"Saint-Jérôme, Canada","['Bank of Montreal', 'California Energy Commission', 'Fonds de solidarite FTQ', 'CDPQ', 'Fondaction', 'National Bank of Canada', 'Investissement Quebec', 'Finalta Capital', 'Desjardins Capital Markets']",358.0,-40.43,Other,,,True,222287283
d63e45d8-c6c2-4355-9187-4aa199bae80c,the mit sloan school of management,Focus on climate policy,https://mitsloan.mit.edu/,,,,,,,,False,Not in Affinity
282d3c1e-dc87-4447-8e4b-7c4a347d324b,the new york state common retirement fund,Climate Transition Index fund,,,,,,,,,False,Not in Affinity
e2d3ab13-3e1c-4931-8613-412bd219748c,The Nuclear Company,Large-scale nuclear power plants using existing reactor designs,thenuclearcompany.com,"Lexington, Kentucky",,25.0,212.5,,53519400.0,,True,293366656
28970625-3d31-45d2-9816-2881996ccdb9,the oman investment authority,Future Fund Oman for large-scale projects,,,,,,,,,False,Not in Affinity
ea7c8314-5f8b-48c5-917c-147804cca4aa,The Protein Brewery,Brewer of plant-based protein,theproteinbrewery.nl,Netherlands,,,,,,,False,263598957
