id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
90019477-2e50-4bdf-bfd7-7b2b7474d2ba,DeCarice,Hydrogen injection and engine technology,decarice.com.au,"Sydney, Australia",,,,,,,False,293015142
0291eb11-5d62-4306-a821-eae346ca690d,decentral energy managers,Renewable energy developer,,,,,,,,,False,Not in Affinity
b77800ac-7fda-408b-81a3-0d10380a0980,Decharge Network,Network of fast EV chargers,decharge.network,"Hyderabad, India",,,,,,,False,300246962
2d36d087-2f58-4890-ba8d-2d370ce80a6b,Deci AI,Deep learning company,deci.ai,"Tel Aviv-Yafo, Israel","['Square Peg', 'ICON', 'Insight Partners', 'Jibe Ventures', 'Vintage Investment Partners', 'Fort Ross Ventures', 'Emerge', 'Samsung Next']",41.0,-58.59,Series B,25000000.0,"['Jonathan Elial (Co-Founder & VP Product): https://linkedin.com/in/jelial', 'Ran El-Yaniv (Co-Founder, Chief Scientist): https://linkedin.com/in/ran-el-yaniv-33a5b22', 'Yonatan Geifman (Co-Founder & CEO): https://linkedin.com/in/yonatan-geifman-8a449a3']",True,255138460
2f81e4d0-444e-4ea2-93ac-6e14e669781e,decibel bio,Crop epigenetic platform for plant traits,,,,,,,,,False,Not in Affinity
cf583526-aaac-407b-badb-b4d64b34fb35,Deep Fission,Modular nuclear microreactor researcher,deepfission.com,"Berkeley, CA",,,,,,,False,290961410
d8161fae-9583-41ed-baa0-5d08817995ef,deep green,Data center heat repurposing platform,,,,,,,,,False,Not in Affinity
456bdde5-8a3c-46cc-b83a-1b2c1c988ebf,Deep Sky,CO2 removal company,deepskyclimate.com,"Montreal, Canada","['Investissement Québec', 'Brightspark Ventures', 'OMERS Ventures', 'Whitecap Venture Partners', 'Business Development Bank of Canada']",40.0,37.93,Series A,75000000.0,"['Joost Ouwerkerk (Co-Founder): https://linkedin.com/in/joostouwerkerk', 'Damien Steel (Chief Executive Officer): https://linkedin.com/in/damien-steel-a959965']",True,290610126
222bbfc1-8b48-44c1-bcbd-e020e91b39b1,Deepcell,Life science using A.I.-powered cell classification,deepcell.com,"Mountain View, CA",,,,,,,False,281368406
59690c91-ff01-454f-af41-e59055c10759,deepchecks,Continuous machine learning validation platform,,,,,,,,,False,Not in Affinity
4a94588c-c1c8-4aa2-b867-bcbb1e903ae7,Deepdrive,Make dual rotor electric motors,deepdrive.com,"Garching bei München, Germany",,,,,,,False,302590849
66d7cdb5-de12-4945-9f9a-80728c40ed80,deepgreen metals,EV battery metals maker,,,,,,,,,False,Not in Affinity
9c189ade-f7fa-4e62-9d5e-00e6c03244d7,Deepki,Carbon management platform for the real estate industry,deepki.com,"Paris, France","['Demeter', 'One Peak', 'Citizen Capital', 'Hi Inov', 'Revaia', 'Bpifrance', 'Statkraft Ventures', 'Highland Europe']",370.0,1.09,Series C,150000000.0,"['Edith LECLERE (Office Manager & PA to the CEO, in charge of the Boards): https://linkedin.com/in/edith-leclere-51ab9338', 'Vincent BRYANT (Cofounder & CEO): https://linkedin.com/in/vincentbryant1']",True,36460344
94ff8222-91fb-43f0-9f80-7e22fe58481e,DeepSee,Process automation company,deepsee.ai,"Salt Lake City, UT",,,,,,,False,235745106
