id,name,tagline,domain,Location,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),Investors,LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
131a508a-9a3d-439f-b935-c8dde9590a4a,Lacuna Technologies,Provider of urban transportation management software,lacuna.ai,"Palo Alto, CA",,,,,,,False,223434910
c34452fa-ea5b-40ef-ac86-0778cfce9b58,LAIIER.IO,Liquid leak detection service,laiier.io,"London, United Kingdom",18.0,0.0,,4176900.0,,Matt Johnson (CEO and Co-Founder): https://linkedin.com/in/mattmullinsjohnson,True,283010826
9b1224e2-d5ff-4183-b99d-cabc5381b5ec,Laird Superfood,Creator of plant-based superfood products,lairdsuperfood.com,Oregon,,,,,,,False,119216715
e21a883c-662c-4a28-9102-9019c465818a,Lancium Technologies,Startup using renewable energy to power bitcoin mining,lancium.com,"Houston, Texas",53.0,-5.36,,150000000.0,other strategic energy investors,Prashant Gupta (Co-Founder and Board Member): https://linkedin.com/in/pgupta241,True,161108674
0e0c7163-b2bf-4c9a-9115-896424329ea7,Lancium Technologies,Power orchestration and management solutions platform,lancium.com,"Houston, Texas",53.0,-5.36,,150000000.0,other strategic energy investors,Prashant Gupta (Co-Founder and Board Member): https://linkedin.com/in/pgupta241,True,161108674
bcc0c5c7-2d66-428b-a634-6cbccb2d0d66,LAND,Producer of an electric two-wheeler,landinc.ca,"Cleveland, OH",,,,,,,False,224947115
1d67f3df-3e5c-4bc9-b87a-c816b7260f2c,LandGate,Marketplace and data provider for commercial land,landgate.com,"Denver, Colorado",43.0,0.0,Series B,10000000.0,"NextEra Energy Resources, LLC",Yoann Hispa (CEO): https://linkedin.com/in/yoann-hispa-652a994,True,266626238
28490344-6658-43a1-bcb0-2ae46173f16a,LanzaJet,Sustainable aviation fuel production facility,lanzajet.com,"Deerfield, Illinois",135.0,14.41,Other,,Mitsubishi UFJ Financial Group,Jimmy Samartzis (Chief Executive Officer and Board Director): https://linkedin.com/in/jimmysamartzis,True,263507746
a3401ee9-57c6-4a91-a2ba-4758d45ddc61,LanzaTech,Sustainable fuels and chemicals platform,lanzatech.com,"Skokie, Illinois",340.0,-9.33,Public Markets,30000000.0,CICC Growth Capital Fund I,Sean Simpson (Founder and Chief Scientific Officer): https://linkedin.com/in/sean-simpson-75008b20b,True,1538094
f9e94393-dfd8-4535-9534-fb50cb23119c,lanzatech nz,Bio-processing platform for improving waste carbon treatment,,,,,,,,,False,
a8a2d0bf-2752-46a4-9d76-5b9abc0074e5,larger funding rounds,Lithium-ion battery cell manufacturing,,,,,,,,,False,
78d7e0c6-e2dc-4671-b3d3-fcc4280c52fe,Last Energy,20 MW modular nuclear reactors,open-100.com,"Washington, D.C.",,,,,,,False,255150493
f404a718-9420-43a5-bb59-9a9e20038dc1,lat water,Developer of sustainable wastewater treatment solutions,,,,,,,,,False,
0a2e0f26-5ce5-401e-a7ad-3aab8c931984,Latitude Media,Climate research and news platform,latitude.media,"Boston, MA",11.0,,,,,,True,294170924
47762fad-3952-42d0-b647-d6c794e5e2c7,LAXEY,Land-based salmon farming producer,laxey.is,"Vestmannaeyjar, Iceland",,,,,,,False,293018294
14cde22c-ecd7-4828-a87c-1eab8e8ebd48,LD Carbon,Develops eco-friendly materials from old tires,ldcarbon.co.kr,"Seoul, South Korea",,,,,,,False,289947241
7e9aede6-1027-45bb-8e0f-65879bc046bf,Le Fourgon,Returnable beverage products delivery network,lefourgon.com,"Lille, France",136.0,-7.48,Series A,10000000.0,La Poste Ventures fund,Maxime Tharin (CO-FOUNDER & COO): https://linkedin.com/in/maximetharincofondateurlefourgon,True,282357617
740d455e-a104-4d53-a75e-a67ef745d315,Lead Ventures,Early-stage fund for Central and Eastern European startups,leadventures.eu,"Budapest, Hungary",14.0,0.0,Series A,100000000.0,No investors mentioned,Balazs Haszonics (CEO): https://linkedin.com/in/balazs-haszonics-21a22519,True,147495664
7872e94f-eb10-4299-b91b-918816cb7208,leaf,Data infrastructure startup focused on food and agriculture market,,,,,,,,,False,Not in Affinity
98ff3472-827b-4273-9704-25da26a8243b,leaf agriculture,Technology-first approach to farm data company,https://www.leafagriculture.com/,,,,,,,,False,Not in Affinity
7129b8c2-719c-4eef-832c-c75dd30e1513,leaft foods,Plant based protein startup,https://www.leaftfoods.com/,,,,,,,,False,Not in Affinity
6a8e8678-6624-4798-91bd-24914a9ab0d5,leakzon,AI-powered water management platform,,,,,,,,,False,Not in Affinity
d4b71aab-bd7e-4aab-948b-540faaf019ea,leap,Universal distributed energy marketplace,https://www.leap.energy/,,,,,,,,False,Not in Affinity
4c66f1eb-4da1-49fe-8e87-d66ce086ccc0,leap24,Facilitating a charging network for electric vans and trucks,,,,,,,,,False,Not in Affinity
6d270e1a-f2da-4545-9270-8a470ce53a11,legume technology,Biostimulants for smallholder farmers,,,,,,,,,False,Not in Affinity
2b87d84a-b178-442c-830f-872dc028b301,leko labs,Carbon negative construction company,https://lekolabs.com/,,,,,,,,False,Not in Affinity
37acd9f4-bb92-413f-945b-b0bbbad23400,lemon energy,Digital clean energy provider,,,,,,,,,False,Not in Affinity
6f41b392-7f67-457b-b8ad-3380e84dcb78,lens consortium,Develop sodium-ion batteries,,,,,,,,,False,Not in Affinity
d3733cd1-17ee-40e7-840b-7fe66a1ab2b8,leoparda electric,Electric motorcycles and batteries,,,,,,,,,False,Not in Affinity
95f90915-5387-4564-83cb-77c574a82ed5,leta,Efficient logistics tech developer,https://leta.com/,,,,,,,,False,Not in Affinity
2df156c5-29b5-4acc-8fdb-b87bfa447411,letstransport,EV last-mile delivery network,https://letstransport.in/,,,,,,,,False,Not in Affinity
15dca5be-a966-4267-8c3c-4831385a0767,levelten energy,Carbon-free energy marketplace,https://leveltenenergy.com/,,,,,,,,False,Not in Affinity
338cb5f5-16f8-4805-85d9-932252df12e3,lever vc,Seed-stage venture fund focused on funding plant-based and cell-cultivated protein startups,https://levervc.com/,,,,,,,,False,Not in Affinity
58162419-684b-4a8b-87af-dd9d385faa72,levidian,Decarbonizing methane by cracking it into graphene and hydrogen,https://www.levidian.com/,,,,,,,,False,Not in Affinity
50867d1b-83c3-41c7-b0a6-648ed2ea63d3,leydenjar,EV battery startup,,,,,,,,,False,Not in Affinity
e5635278-a549-4430-b57a-9888a49fa20b,li auto,Chinese maker of electric SUVs,https://www.lixiang.com/,,,,,,,,False,Not in Affinity
0218ba52-9ce0-4c7f-8f72-b408253f1e6f,li industries,Lithium-ion battery recycling company,https://li-industries.com/,,,,,,,,False,Not in Affinity
b088fdb7-17cd-4683-b15c-f0f8c6bece68,li-cycle,Lithium-ion battery recycling service provider,https://li-cycle.com/,,,,,,,,False,Not in Affinity
79c40b80-3249-429f-a826-d596447ae531,libattion,To upcycle used EV batteries into stationary energy storage,https://libattion.com/,,,,,,,,False,Not in Affinity
42ac1448-5f86-433a-b515-ac0942482fb7,liberate foods,Plant protein and meat substitute company,,,,,,,,,False,Not in Affinity
688b4c9b-b141-427a-be7d-cf7cd1d9b98b,liberation labs,Providing precision fermentation platform for alternative proteins,https://liberationlabs.com/,,,,,,,,False,Not in Affinity
f4f00fd9-4564-40ab-ab60-e13959b51e61,librec,Li-ion battery recycling company,,,,,,,,,False,Not in Affinity
375e184f-f973-40a3-8334-4b041b94f38c,lidwave,LiDAR chips for various applications,https://www.lidwave.com/,,,,,,,,False,Not in Affinity
26b46ad6-9139-4ec8-a0e6-0b5f14e981b9,liefergrün,Zero-emissions delivery startup,,,,,,,,,False,Not in Affinity
8a278818-4370-4a99-80a9-4aabc1ac0874,lifelabs,Producer of thermally-efficient lifestyle apparel,https://lifelabs.com/,,,,,,,,False,Not in Affinity
456504d7-4fc2-40d7-b6b8-8c4d145dcf1c,liftwerx,Maintenance services for onshore wind,,,,,,,,,False,Not in Affinity
74b99c51-addc-41e7-8807-8aee4f7d7f98,light bridge,Hydrogen electrolysis systems manufacturer,,,,,,,,,False,Not in Affinity
e4aeee19-2b50-425c-80b7-38b6af3800fa,lightdash,Remote-based open-source business intelligence platform,https://lightdash.com/,,,,,,,,False,Not in Affinity
91053fe5-451c-4906-9932-c426dbb6ae6d,lightlytics,Cloud deployment SaaS platform,https://lightlytics.com/,,,,,,,,False,Not in Affinity
21d8e7c1-014e-48c8-9dfb-46fdaa32133c,lightning emotors,Electrifying commercial vehicle fleets,,,,,,,,,False,Not in Affinity
3087d6aa-c2de-4a3f-8f48-038ff503dd83,lightshift energy,Owner and operator of utility-scale battery storage projects,,,,,,,,,False,Not in Affinity
